epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9893,1.81024,3.64453,2.39904,0.58909,0.17783,0.17943,0.10109,1.40844,3.4229,1.97572,0.094012,1.2e-05,1.2e-05
2,42.5158,1.89856,3.41947,2.41084,0.48449,0.23735,0.30697,0.17352,1.39363,2.99738,1.92118,0.087026,2.59936e-05,2.59936e-05
3,63.0406,1.70497,2.97726,2.2181,0.65585,0.4119,0.41925,0.24483,1.36213,2.61642,1.84455,0.08004,3.99606e-05,3.99606e-05
4,83.5609,1.60916,2.64637,2.16163,0.68293,0.41907,0.45366,0.27215,1.3707,2.32745,1.80516,0.0730539,5.38804e-05,5.38804e-05
5,104.045,1.47717,2.32836,2.00977,0.7131,0.43045,0.50202,0.29852,1.31535,2.3203,1.73707,0.0660677,6.77324e-05,6.77324e-05
6,124.523,1.36379,2.04251,1.83617,0.58571,0.49628,0.52668,0.34259,1.2984,2.43405,1.68558,0.0590815,8.14962e-05,8.14962e-05
7,145.023,1.29908,1.78197,1.78205,0.77273,0.48437,0.59952,0.37171,1.26127,2.41459,1.63595,0.0520952,9.51515e-05,9.51515e-05
8,165.476,1.217,1.6573,1.71758,0.79561,0.47434,0.61795,0.37156,1.24199,2.26066,1.6281,0.0451087,0.000108678,0.000108678
9,185.942,1.25698,1.66908,1.72579,0.70181,0.5372,0.65064,0.40681,1.23221,2.1327,1.62291,0.0381221,0.000122056,0.000122056
10,206.419,1.12323,1.45912,1.64779,0.63256,0.67415,0.69931,0.41737,1.21273,2.00225,1.61687,0.0311353,0.000135266,0.000135266
11,226.957,1.13478,1.40795,1.63784,0.69069,0.73214,0.74085,0.41189,1.20829,1.89024,1.61047,0.0241483,0.000148288,0.000148288
12,247.468,1.16549,1.37685,1.6652,0.74137,0.70908,0.76031,0.41247,1.20106,1.77544,1.60257,0.0171611,0.000161103,0.000161103
13,267.982,1.15331,1.30707,1.64319,0.70379,0.77232,0.77444,0.42575,1.20486,1.69408,1.61065,0.0101737,0.000173693,0.000173693
14,288.536,1.08759,1.29305,1.59256,0.68199,0.82691,0.80642,0.45602,1.20472,1.58906,1.6109,0.00318604,0.000186038,0.000186038
15,309.056,1.12635,1.23831,1.62657,0.70255,0.79631,0.82155,0.48408,1.18958,1.48703,1.60035,0.000190502,0.000190502,0.000190502
16,329.611,1.12209,1.19636,1.58247,0.6969,0.89435,0.84444,0.51087,1.16576,1.36202,1.5739,0.000189122,0.000189122,0.000189122
17,350.107,1.08944,1.13824,1.61432,0.75687,0.85267,0.84643,0.52144,1.14531,1.28288,1.56044,0.000187655,0.000187655,0.000187655
18,370.665,1.04692,1.05135,1.57761,0.74366,0.87054,0.85141,0.5344,1.11302,1.20662,1.5267,0.000186102,0.000186102,0.000186102
19,391.236,1.03219,1.02211,1.57369,0.75415,0.84685,0.85849,0.54365,1.10397,1.15112,1.50955,0.000184464,0.000184464,0.000184464
20,411.799,1.01053,0.96567,1.52068,0.81448,0.84896,0.8745,0.56632,1.10529,1.09381,1.50429,0.000182743,0.000182743,0.000182743
21,432.254,1.02556,1.05579,1.53492,0.79566,0.88148,0.87862,0.56792,1.10616,1.0464,1.50513,0.00018094,0.00018094,0.00018094
22,452.961,1.04657,0.95519,1.51223,0.81959,0.87764,0.88878,0.58336,1.09839,0.99884,1.49723,0.000179057,0.000179057,0.000179057
23,473.542,1.00285,0.87603,1.50155,0.79821,0.90456,0.89811,0.58358,1.0895,0.97841,1.48476,0.000177097,0.000177097,0.000177097
24,494.15,1.03886,0.92668,1.49213,0.85493,0.81176,0.89325,0.58306,1.08508,0.97713,1.47803,0.000175061,0.000175061,0.000175061
25,514.712,1.0176,0.93887,1.49697,0.77172,0.89347,0.88079,0.58303,1.07769,0.96497,1.47515,0.000172951,0.000172951,0.000172951
26,535.327,0.96426,0.8693,1.44979,0.76702,0.86264,0.87938,0.57633,1.06365,0.96579,1.46999,0.000170769,0.000170769,0.000170769
27,555.893,0.94153,0.88077,1.43643,0.77035,0.87054,0.87646,0.58056,1.072,0.96308,1.48327,0.000168518,0.000168518,0.000168518
28,576.527,0.97555,0.84443,1.47265,0.79215,0.85863,0.87846,0.58367,1.08029,0.96771,1.49256,0.000166199,0.000166199,0.000166199
29,597.071,1.03818,0.87496,1.48189,0.80062,0.85863,0.87964,0.57647,1.08665,0.96582,1.49931,0.000163815,0.000163815,0.000163815
30,617.711,0.96119,0.78369,1.45124,0.82819,0.82738,0.88412,0.56882,1.09631,0.96689,1.50786,0.000161368,0.000161368,0.000161368
31,638.321,1.00083,0.85583,1.46823,0.86541,0.80357,0.88183,0.56293,1.10177,0.95997,1.51245,0.000158861,0.000158861,0.000158861
32,658.939,0.96042,0.81793,1.43656,0.87253,0.80357,0.88728,0.56473,1.10828,0.95823,1.52115,0.000156296,0.000156296,0.000156296
33,679.574,0.99632,0.77255,1.45969,0.87686,0.81128,0.89453,0.56996,1.11753,0.96035,1.53141,0.000153676,0.000153676,0.000153676
34,700.178,0.99608,0.79047,1.4534,0.90296,0.85263,0.90999,0.57249,1.12025,0.9413,1.53197,0.000151002,0.000151002,0.000151002
35,720.796,0.9106,0.72387,1.38262,0.88375,0.85318,0.902,0.57106,1.12351,0.92735,1.53431,0.000148279,0.000148279,0.000148279
36,741.398,0.99632,0.7693,1.43744,0.88328,0.83482,0.90629,0.57785,1.12956,0.9199,1.5328,0.000145508,0.000145508,0.000145508
37,762.111,0.91639,0.7414,1.42436,0.8977,0.82175,0.9041,0.57629,1.13391,0.91276,1.52806,0.000142693,0.000142693,0.000142693
38,783.019,0.93903,0.714,1.43372,0.9298,0.83269,0.91666,0.57327,1.14135,0.89405,1.5266,0.000139835,0.000139835,0.000139835
39,803.686,0.90122,0.75719,1.41009,0.91195,0.86607,0.91842,0.57099,1.14805,0.89207,1.52776,0.000136939,0.000136939,0.000136939
40,824.348,0.93706,0.71218,1.43693,0.92597,0.84418,0.91685,0.56937,1.16219,0.88843,1.53705,0.000134006,0.000134006,0.000134006
41,845.1,0.90333,0.69816,1.39846,0.91654,0.84673,0.91185,0.56511,1.1565,0.88112,1.53017,0.00013104,0.00013104,0.00013104
42,865.91,0.90064,0.70617,1.43263,0.92983,0.84951,0.91254,0.56945,1.14516,0.86657,1.52597,0.000128043,0.000128043,0.000128043
43,886.412,0.90716,0.68389,1.4292,0.8921,0.88585,0.90898,0.56954,1.13405,0.85223,1.51893,0.000125019,0.000125019,0.000125019
44,906.935,0.92075,0.68393,1.43323,0.88152,0.87426,0.91325,0.57844,1.12366,0.84463,1.51333,0.000121971,0.000121971,0.000121971
45,927.317,0.91379,0.70082,1.41812,0.87978,0.88064,0.91779,0.58265,1.11619,0.82535,1.51064,0.000118901,0.000118901,0.000118901
46,947.76,0.87251,0.71959,1.4094,0.88337,0.85679,0.92165,0.59545,1.1074,0.80832,1.50367,0.000115812,0.000115812,0.000115812
47,968.185,0.91128,0.71982,1.42435,0.8893,0.85045,0.92082,0.59728,1.1111,0.79401,1.50409,0.000112708,0.000112708,0.000112708
48,988.57,0.82806,0.64181,1.38115,0.89121,0.86977,0.92372,0.59446,1.10874,0.79102,1.50823,0.000109592,0.000109592,0.000109592
49,1008.96,0.92897,0.76867,1.42832,0.89216,0.87343,0.92467,0.59999,1.11429,0.78521,1.50759,0.000106466,0.000106466,0.000106466
50,1029.37,0.88545,0.65834,1.36949,0.89053,0.86994,0.92564,0.60077,1.11544,0.78215,1.51014,0.000103335,0.000103335,0.000103335
51,1049.81,0.84263,0.64594,1.40278,0.8846,0.87123,0.92116,0.60322,1.1067,0.77875,1.50569,0.0001002,0.0001002,0.0001002
52,1070.22,0.90479,0.69824,1.35981,0.89271,0.88247,0.92767,0.60483,1.09536,0.77792,1.50366,9.70652e-05,9.70652e-05,9.70652e-05
53,1090.67,0.82173,0.61568,1.34796,0.8844,0.87426,0.92647,0.60981,1.08907,0.77054,1.50141,9.39335e-05,9.39335e-05,9.39335e-05
54,1111.07,0.843,0.62683,1.37227,0.87348,0.88165,0.92606,0.61031,1.07649,0.76724,1.48939,9.0808e-05,9.0808e-05,9.0808e-05
55,1131.51,0.87438,0.63138,1.3466,0.86852,0.88616,0.92603,0.61499,1.08083,0.76707,1.49304,8.76917e-05,8.76917e-05,8.76917e-05
56,1151.94,0.79898,0.58584,1.36358,0.85251,0.87054,0.91245,0.60442,1.08741,0.77521,1.50086,8.45878e-05,8.45878e-05,8.45878e-05
57,1172.5,0.83208,0.62895,1.36172,0.8579,0.87054,0.90963,0.6057,1.08278,0.77579,1.49746,8.14993e-05,8.14993e-05,8.14993e-05
58,1193.26,0.84266,0.60649,1.34307,0.85706,0.87054,0.90803,0.61789,1.07954,0.76211,1.49296,7.84293e-05,7.84293e-05,7.84293e-05
59,1213.96,0.78827,0.58541,1.35385,0.83724,0.85491,0.89397,0.61783,1.07206,0.75673,1.48438,7.53807e-05,7.53807e-05,7.53807e-05
60,1234.65,0.83312,0.61498,1.35603,0.83541,0.85491,0.89452,0.62432,1.07842,0.75589,1.48908,7.23567e-05,7.23567e-05,7.23567e-05
61,1255.4,0.79827,0.59177,1.33288,0.83699,0.85601,0.8923,0.61844,1.08184,0.75604,1.49045,6.93601e-05,6.93601e-05,6.93601e-05
62,1276.26,0.809,0.59787,1.358,0.83959,0.85491,0.89183,0.60795,1.08317,0.74958,1.49474,6.6394e-05,6.6394e-05,6.6394e-05
63,1297.01,0.7882,0.56212,1.32444,0.83632,0.85491,0.89346,0.60868,1.08546,0.74585,1.49934,6.34612e-05,6.34612e-05,6.34612e-05
64,1317.78,0.7707,0.58701,1.33865,0.82188,0.86754,0.8891,0.60352,1.08838,0.74547,1.50185,6.05646e-05,6.05646e-05,6.05646e-05
65,1338.54,0.81875,0.59618,1.37702,0.83543,0.85507,0.89037,0.60017,1.08958,0.74449,1.50159,5.77072e-05,5.77072e-05,5.77072e-05
66,1359.39,0.76572,0.56463,1.33246,0.83885,0.85688,0.89056,0.59272,1.08532,0.74736,1.49453,5.48917e-05,5.48917e-05,5.48917e-05
67,1380.17,0.79247,0.54315,1.28142,0.84216,0.85491,0.89089,0.59605,1.08203,0.747,1.49587,5.2121e-05,5.2121e-05,5.2121e-05
68,1400.95,0.77063,0.56895,1.33979,0.85396,0.85491,0.8895,0.60118,1.07393,0.74118,1.49083,4.93977e-05,4.93977e-05,4.93977e-05
69,1421.72,0.77885,0.56771,1.34828,0.85516,0.85491,0.89021,0.60483,1.07327,0.7398,1.49022,4.67245e-05,4.67245e-05,4.67245e-05
70,1442.78,0.75351,0.54559,1.31119,0.85192,0.85491,0.8887,0.60659,1.06881,0.74043,1.48275,4.41041e-05,4.41041e-05,4.41041e-05
71,1463.56,0.79038,0.56786,1.33114,0.85361,0.85491,0.88777,0.60996,1.06316,0.73917,1.47733,4.1539e-05,4.1539e-05,4.1539e-05
72,1484.28,0.78899,0.54236,1.33039,0.85999,0.85473,0.88928,0.6101,1.05941,0.73614,1.46997,3.90319e-05,3.90319e-05,3.90319e-05
73,1504.88,0.75878,0.5596,1.33385,0.85692,0.85931,0.88989,0.6106,1.06123,0.73437,1.47055,3.65851e-05,3.65851e-05,3.65851e-05
74,1525.6,0.83269,0.58386,1.32462,0.84531,0.87054,0.89112,0.60744,1.06592,0.73566,1.47519,3.42011e-05,3.42011e-05,3.42011e-05
75,1546.31,0.75391,0.54573,1.32059,0.84284,0.87314,0.89224,0.60875,1.07061,0.73712,1.47882,3.18822e-05,3.18822e-05,3.18822e-05
76,1567.04,0.7758,0.58462,1.31986,0.85821,0.87324,0.89324,0.60413,1.07868,0.73926,1.48618,2.96307e-05,2.96307e-05,2.96307e-05
77,1587.7,0.82498,0.59463,1.33526,0.86752,0.87905,0.89305,0.60309,1.08211,0.74005,1.49054,2.74489e-05,2.74489e-05,2.74489e-05
78,1608.37,0.74908,0.54398,1.30073,0.86928,0.87641,0.89525,0.60433,1.08726,0.73796,1.49645,2.53389e-05,2.53389e-05,2.53389e-05
79,1629.09,0.82529,0.5553,1.32002,0.86888,0.87444,0.8977,0.60767,1.08745,0.73593,1.49864,2.33028e-05,2.33028e-05,2.33028e-05
80,1649.77,0.79391,0.54794,1.30629,0.8684,0.8773,0.89635,0.60798,1.08798,0.73192,1.50024,2.13425e-05,2.13425e-05,2.13425e-05
81,1670.45,0.73319,0.54138,1.32024,0.86418,0.87759,0.8966,0.6085,1.08592,0.72824,1.49786,1.94601e-05,1.94601e-05,1.94601e-05
82,1691.1,0.71357,0.51414,1.29797,0.86583,0.87981,0.89649,0.6046,1.08913,0.72473,1.50229,1.76574e-05,1.76574e-05,1.76574e-05
83,1711.72,0.77987,0.55335,1.33717,0.86482,0.88197,0.89606,0.60654,1.09072,0.72482,1.50583,1.59361e-05,1.59361e-05,1.59361e-05
84,1732.4,0.73525,0.51173,1.32066,0.86372,0.88244,0.89592,0.60292,1.09058,0.72094,1.50544,1.42979e-05,1.42979e-05,1.42979e-05
85,1753.21,0.80738,0.64388,1.30733,0.86377,0.87843,0.89734,0.60562,1.08804,0.72098,1.50217,1.27446e-05,1.27446e-05,1.27446e-05
86,1774.05,0.74251,0.55613,1.29422,0.88012,0.88186,0.89829,0.60753,1.08838,0.72217,1.50246,1.12775e-05,1.12775e-05,1.12775e-05
87,1794.83,0.75059,0.514,1.29835,0.88109,0.88179,0.89867,0.608,1.08902,0.72176,1.50295,9.89826e-06,9.89826e-06,9.89826e-06
88,1815.63,0.77729,0.57866,1.36111,0.88203,0.87924,0.89725,0.60846,1.08899,0.71855,1.50497,8.60809e-06,8.60809e-06,8.60809e-06
89,1836.39,0.75334,0.54589,1.33874,0.86701,0.88025,0.89717,0.6106,1.08637,0.71936,1.50157,7.40831e-06,7.40831e-06,7.40831e-06
90,1857.18,0.75486,0.53533,1.30771,0.86515,0.88244,0.89733,0.61043,1.08594,0.71801,1.50214,6.3001e-06,6.3001e-06,6.3001e-06
91,1877.95,0.7273,0.52167,1.29521,0.88078,0.89156,0.91497,0.612,1.08608,0.71927,1.502,5.28456e-06,5.28456e-06,5.28456e-06
92,1898.7,0.70189,0.56946,1.27768,0.88073,0.89559,0.91407,0.61062,1.08481,0.72038,1.49966,4.36269e-06,4.36269e-06,4.36269e-06
93,1919.54,0.72103,0.56241,1.31458,0.88028,0.89485,0.91332,0.61244,1.08498,0.71992,1.50132,3.5354e-06,3.5354e-06,3.5354e-06
94,1940.36,0.78205,0.59542,1.33969,0.86917,0.87749,0.89636,0.60976,1.08298,0.72048,1.49547,2.80351e-06,2.80351e-06,2.80351e-06
95,1961.24,0.76615,0.54402,1.36526,0.86936,0.87772,0.89621,0.61028,1.08247,0.72015,1.49484,2.16773e-06,2.16773e-06,2.16773e-06
96,1982.02,0.7619,0.55485,1.31744,0.86962,0.88132,0.89676,0.60802,1.08358,0.71957,1.49864,1.6287e-06,1.6287e-06,1.6287e-06
97,2003.03,0.72371,0.50879,1.31116,0.86929,0.88147,0.89628,0.61168,1.08293,0.72019,1.49758,1.18695e-06,1.18695e-06,1.18695e-06
98,2023.69,0.76226,0.5528,1.32727,0.86946,0.87752,0.89567,0.60869,1.08622,0.72047,1.49814,8.42916e-07,8.42916e-07,8.42916e-07
99,2044.78,0.72991,0.52123,1.29104,0.86937,0.87592,0.89494,0.60833,1.08778,0.72109,1.50062,5.96933e-07,5.96933e-07,5.96933e-07
100,2065.5,0.75954,0.54271,1.27858,0.88462,0.89265,0.91499,0.61067,1.08476,0.72246,1.49686,4.49245e-07,4.49245e-07,4.49245e-07
